crop_id,category,habit,life_form,life_span,physiology,plant_attributes
555,vegetables,erect,herb,"annual, biennial",single stem,grown on large scale
556,vegetables,erect,herb,biennial,single stem,grown on small scale
565,"fruits & nuts, materials, ornamentals/turf, medicinals & aromatic",erect,tree,perennial,"deciduous, single stem",grown on small scale
576,vegetables,prostrate/procumbent/semi-erect,shrub,perennial,"multi stem, C3 photosynthesis",grown on large scale
588,"fruits & nuts, materials, ornamentals/turf, medicinals & aromatic, forest/wood, environmental",erect,tree,perennial,"evergreen, single stem",grown on small scale
594,"vegetables, medicinals & aromatic",erect,herb,"annual, perennial",,grown on large scale
599,"materials, medicinals & aromatic",erect,shrub,perennial,"evergreen, multi stem",grown on large scale
606,"fruits & nuts, ornamentals/turf, forest/wood",erect,tree,perennial,single stem,grown on small scale
609,"pulses (grain legumes), forage/pasture, cover crop","erect, prostrate/procumbent/semi-erect","herb, vine, sub-shrub","annual, perennial",multi stem,grown on large scale
612,"roots/tubers, materials, ornamentals/turf, medicinals & aromatic, environmental",erect,herb,perennial,"evergreen, single stem",grown on small scale
618,"vegetables, medicinals & aromatic",erect,herb,annual,,grown on large scale
621,fruits & nuts,erect,sub-shrub,perennial,multi stem,grown on small scale
630,"fruits & nuts, medicinals & aromatic",erect,herb,perennial,"evergreen, single stem","grown on large scale, grown on small scale"
633,"fruits & nuts, ornamentals/turf, medicinals & aromatic",erect,tree,perennial,"evergreen, single stem",grown on small scale
639,"fruits & nuts, ornamentals/turf, environmental",erect,shrub,"annual, perennial",multi stem,
658,"forage/pasture, fruits & nuts, materials, forest/wood, environmental",erect,tree,perennial,"deciduous, single stem",grown on small scale
660,vegetables,erect,herb,annual,,grown on small scale
669,"vegetables, medicinals & aromatic",prostrate/procumbent/semi-erect,herb,perennial,,"grown on small scale, harvested from wild"
689,"fruits & nuts, ornamentals/turf, medicinals & aromatic",erect,tree,perennial,"evergreen, single stem",grown on small scale
693,vegetables,acaulescent (or rosette plants),herb,"annual, biennial",single stem,grown on small scale
694,"vegetables, medicinals & aromatic",erect,herb,"biennial, perennial",multi stem,"grown on small scale, harvested from wild"
708,"fruits & nuts, materials, medicinals & aromatic",prostrate/procumbent/semi-erect,"herb, vine",annual,multi stem,"grown on large scale, grown on small scale"
711,"fruits & nuts, materials, medicinals & aromatic",erect,tree,perennial,"evergreen, single stem",grown on large scale
712,fruits & nuts,erect,tree,perennial,"evergreen, single stem",grown on small scale
714,"fruits & nuts, materials, medicinals & aromatic",erect,tree,perennial,"evergreen, single stem",grown on large scale
716,"fruits & nuts, medicinals & aromatic",erect,"shrub, tree",perennial,"evergreen, single stem, multi stem",grown on large scale
717,fruits & nuts,erect,tree,perennial,"evergreen, single stem",grown on large scale
718,fruits & nuts,erect,tree,perennial,"evergreen, single stem","grown on large scale, grown on small scale"
720,fruits & nuts,erect,tree,perennial,"evergreen, single stem",grown on large scale
722,"fruits & nuts, ornamentals/turf",erect,tree,perennial,"evergreen, single stem, multi stem","grown on large scale, grown on small scale"
738,"forage/pasture, fruits & nuts, materials, ornamentals/turf, medicinals & aromatic, cover crop",climber/scrambler/scadent,"vine, shrub",perennial,multi stem,grown on small scale
743,"fruits & nuts, materials, ornamentals/turf, forest/wood, environmental",erect,"shrub, tree",perennial,"deciduous, single stem, multi stem",grown on small scale
744,"fruits & nuts, materials, forest/wood",erect,tree,perennial,"evergreen, single stem","grown on large scale, harvested from wild"
749,"materials, medicinals & aromatic",erect,shrub,perennial,"evergreen, multi stem",grown on large scale
750,"materials, medicinals & aromatic",erect,shrub,perennial,"evergreen, multi stem",grown on large scale
751,"fruits & nuts, environmental",erect,"shrub, tree",perennial,"evergreen, single stem, multi stem",grown on small scale
758,"roots/tubers, vegetables, ornamentals/turf",erect,herb,perennial,,grown on large scale
777,"fruits & nuts, ornamentals/turf, medicinals & aromatic, forest/wood, environmental",erect,tree,perennial,"deciduous, single stem",
784,"vegetables, materials, medicinals & aromatic",erect,herb,annual,,grown on large scale
803,"forage/pasture, vegetables, environmental",erect,"herb, sub-shrub","annual, perennial",multi stem,
810,vegetables,erect,herb,"annual, perennial",,grown on large scale
815,"vegetables, materials, environmental",climber/scrambler/scadent,"herb, vine",annual,single stem,grown on small scale
817,"fruits & nuts, vegetables, materials, medicinals & aromatic",climber/scrambler/scadent,herb,annual,single stem,grown on large scale
819,"forage/pasture, fruits & nuts, vegetables, materials, medicinals & aromatic",climber/scrambler/scadent,vine,annual,,grown on large scale
820,"forage/pasture, fruits & nuts, vegetables",climber/scrambler/scadent,vine,annual,,grown on large scale
821,"fruits & nuts, vegetables, materials",climber/scrambler/scadent,"herb, vine",annual,,"grown on large scale, grown on small scale"
830,"forage/pasture, fruits & nuts, vegetables, materials, medicinals & aromatic",erect,herb,annual,,grown on large scale
847,"vegetables, materials, medicinals & aromatic",erect,herb,perennial,,"grown on large scale, grown on small scale"
856,"forage/pasture, medicinals & aromatic",erect,grass,perennial,,grown on small scale
859,"fruits & nuts, materials, medicinals & aromatic",erect,"herb, shrub, tree",perennial,"single stem, multi stem","grown on large scale, grown on small scale"
866,"cereals & pseudocereals, forage/pasture, weed",erect,grass,annual,multi stem,
871,"roots/tubers, forage/pasture, vegetables, materials, medicinals & aromatic",erect,herb,biennial,single stem,"grown on large scale, grown on small scale"
882,"vegetables, materials",erect,grass,perennial,"evergreen, multi stem",
889,fruits & nuts,climber/scrambler/scadent,"vine, shrub",perennial,"deciduous, single stem",grown on large scale
936,"roots/tubers, environmental",climber/scrambler/scadent,vine,perennial,"deciduous, multi stem","grown on large scale, grown on small scale"
938,vegetables,climber/scrambler/scadent,vine,perennial,multi stem,grown on small scale
939,"roots/tubers, forage/pasture, environmental",climber/scrambler/scadent,"herb, vine",perennial,,grown on small scale
942,roots/tubers,climber/scrambler/scadent,vine,perennial,multi stem,grown on small scale
945,"fruits & nuts, medicinals & aromatic",erect,tree,perennial,"deciduous, single stem",grown on small scale
963,"fruits & nuts, medicinals & aromatic",erect,tree,perennial,"evergreen, single stem",grown on small scale
970,"cereals & pseudocereals, forage/pasture, vegetables, environmental, weed",erect,grass,annual,multi stem,grown on small scale
972,"forage/pasture, materials",erect,tree,perennial,"evergreen, single stem","grown on large scale, grown on small scale, harvested from wild"
985,"cereals & pseudocereals, forage/pasture, vegetables, environmental, weed",prostrate/procumbent/semi-erect,grass,annual,multi stem,grown on small scale
988,"vegetables, medicinals & aromatic, weed",prostrate/procumbent/semi-erect,herb,annual,multi stem,
1002,"fruits & nuts, medicinals & aromatic",erect,"shrub, tree",perennial,"single stem, multi stem",grown on small scale
1007,"forage/pasture, vegetables, ornamentals/turf, medicinals & aromatic, forest/wood, environmental",erect,tree,perennial,single stem,
1030,"fruits & nuts, materials, ornamentals/turf, medicinals & aromatic, forest/wood, environmental, weed",erect,tree,perennial,"evergreen, single stem",grown on small scale
1033,"fruits & nuts, medicinals & aromatic, forest/wood",erect,tree,perennial,single stem,
1068,"fruits & nuts, ornamentals/turf, environmental",erect,"shrub, tree",perennial,"evergreen, single stem, multi stem",grown on small scale
1071,"fruits & nuts, ornamentals/turf, medicinals & aromatic",erect,"shrub, tree",perennial,"deciduous, single stem, multi stem, C3 photosynthesis","grown on large scale, grown on small scale, harvested from wild"
1096,vegetables,erect,herb,annual,single stem,grown on large scale
1107,"vegetables, materials, medicinals & aromatic",erect,herb,"biennial, perennial",single stem,grown on large scale
1110,"fruits & nuts, ornamentals/turf, medicinals & aromatic, environmental",erect,"shrub, tree",perennial,"evergreen, single stem, multi stem",
1112,fruits & nuts,acaulescent (or rosette plants),herb,perennial,single stem,grown on large scale
1122,"fruits & nuts, medicinals & aromatic, forest/wood",erect,tree,perennial,"evergreen, single stem",grown on large scale
1125,"fruits & nuts, materials",erect,tree,perennial,"evergreen, single stem",
1150,pulses (grain legumes),erect,herb,annual,,grown on large scale
1152,"forage/pasture, fruits & nuts, materials, ornamentals/turf, medicinals & aromatic, forest/wood, environmental",erect,tree,perennial,"deciduous, single stem",grown on small scale
1193,"roots/tubers, forage/pasture, materials",erect,herb,perennial,single stem,grown on large scale
1212,"forage/pasture, fruits & nuts, materials, forest/wood, environmental",erect,tree,perennial,"evergreen, deciduous, single stem","grown on large scale, harvested from wild"
1213,materials,erect,"herb, sub-shrub",annual,multi stem,"grown on large scale, grown on small scale"
1216,"forage/pasture, fruits & nuts, vegetables, materials, medicinals & aromatic",erect,herb,annual,"single stem, multi stem, C3 photosynthesis","grown on large scale, grown on small scale"
1220,"vegetables, materials, ornamentals/turf, medicinals & aromatic",erect,shrub,perennial,"deciduous, multi stem",grown on small scale
1232,"cereals & pseudocereals, medicinals & aromatic",erect,grass,annual,,grown on large scale
1252,forage/pasture,erect,grass,perennial,,grown on large scale
1260,"forage/pasture, fruits & nuts, ornamentals/turf, medicinals & aromatic, forest/wood, environmental",erect,tree,perennial,single stem,grown on small scale
1264,"forage/pasture, vegetables",climber/scrambler/scadent,"herb, vine",perennial,"evergreen, multi stem",grown on small scale
1265,,,,,,
1283,"cereals & pseudocereals, forage/pasture, weed",erect,grass,"annual, perennial",multi stem,
1306,"forage/pasture, ornamentals/turf, medicinals & aromatic, forest/wood, environmental",erect,tree,perennial,single stem,
1311,"forage/pasture, vegetables, ornamentals/turf, cover crop, environmental",climber/scrambler/scadent,"herb, vine","annual, perennial","multi stem, C3 photosynthesis",grown on large scale
1313,vegetables,acaulescent (or rosette plants),herb,"annual, biennial",single stem,grown on large scale
1315,"fruits & nuts, vegetables, materials, medicinals & aromatic",climber/scrambler/scadent,"herb, vine",annual,multi stem,grown on small scale
1344,"forage/pasture, materials, ornamentals/turf, forest/wood, environmental",erect,"shrub, tree",perennial,"evergreen, single stem, multi stem",grown on large scale
1357,"fruits & nuts, materials, ornamentals/turf, medicinals & aromatic, forest/wood, environmental",erect,tree,perennial,"evergreen, single stem, C3 photosynthesis",grown on large scale
1373,"vegetables, materials, medicinals & aromatic",climber/scrambler/scadent,"herb, vine",annual,C3 photosynthesis,grown on small scale
1379,"forage/pasture, vegetables, medicinals & aromatic",prostrate/procumbent/semi-erect,herb,annual,single stem,grown on large scale
1382,"fruits & nuts, materials, ornamentals/turf, forest/wood, environmental",erect,tree,perennial,"evergreen, single stem",
1399,"pulses (grain legumes), forage/pasture, medicinals & aromatic, environmental","prostrate/procumbent/semi-erect, climber/scrambler/scadent",herb,annual,multi stem,grown on large scale
1406,"fruits & nuts, materials, ornamentals/turf, medicinals & aromatic, forest/wood, environmental",erect,"shrub, tree",perennial,"evergreen, single stem, multi stem",grown on small scale
1407,"fruits & nuts, materials, ornamentals/turf, forest/wood",erect,tree,perennial,"deciduous, single stem",grown on large scale
1410,"fruits & nuts, medicinals & aromatic, forest/wood",erect,tree,perennial,"deciduous, single stem",harvested from wild
1414,"fruits & nuts, medicinals & aromatic",erect,tree,perennial,"evergreen, single stem",grown on small scale
1416,"fruits & nuts, medicinals & aromatic, forest/wood",erect,tree,perennial,,grown on large scale
1420,roots/tubers,erect,shrub,perennial,,grown on large scale
1428,"forage/pasture, cover crop","erect, prostrate/procumbent/semi-erect",herb,perennial,,grown on large scale
1436,fruits & nuts,erect,tree,perennial,single stem,grown on small scale
1466,"vegetables, forest/wood",erect,tree,perennial,"evergreen, single stem",grown on large scale
1485,"ornamentals/turf, medicinals & aromatic, weed","prostrate/procumbent/semi-erect, climber/scrambler/scadent","herb, vine",annual,multi stem,
1488,"fruits & nuts, medicinals & aromatic, forest/wood, environmental",erect,"shrub, tree",perennial,"evergreen, single stem, multi stem",
1491,"forage/pasture, fruits & nuts, vegetables, materials, ornamentals/turf, medicinals & aromatic, forest/wood, environmental",erect,tree,perennial,"deciduous, single stem",grown on large scale
1500,"fruits & nuts, ornamentals/turf, medicinals & aromatic",erect,tree,perennial,"evergreen, single stem",harvested from wild
1503,fruits & nuts,erect,herb,perennial,,grown on large scale
1522,"vegetables, medicinals & aromatic",,herb,perennial,,grown on small scale
1528,"fruits & nuts, materials, ornamentals/turf, medicinals & aromatic, forest/wood, environmental",erect,tree,perennial,"evergreen, single stem, multi stem",grown on large scale
1543,"fruits & nuts, environmental",prostrate/procumbent/semi-erect,tree,perennial,"evergreen, single stem",
1547,"vegetables, medicinals & aromatic, weed",erect,herb,annual,single stem,grown on large scale
1553,"materials, ornamentals/turf, medicinals & aromatic",erect,tree,perennial,"evergreen, single stem",grown on large scale
1574,cereals & pseudocereals,erect,grass,annual,"multi stem, C3 photosynthesis",grown on large scale
1582,"pulses (grain legumes), roots/tubers, forage/pasture, environmental",climber/scrambler/scadent,"herb, vine","annual, perennial",multi stem,"grown on large scale, grown on small scale"
1602,"cereals & pseudocereals, forage/pasture",,grass,perennial,multi stem,
1617,"forage/pasture, fruits & nuts, ornamentals/turf, forest/wood, environmental, weed",erect,tree,perennial,"evergreen, single stem",grown on small scale
1630,"cereals & pseudocereals, forage/pasture, weed",erect,grass,"annual, perennial",multi stem,grown on small scale
1634,environmental,climber/scrambler/scadent,vine,perennial,multi stem,grown on small scale
1637,fruits & nuts,climber/scrambler/scadent,vine,perennial,multi stem,grown on small scale
1638,"fruits & nuts, ornamentals/turf, weed",climber/scrambler/scadent,"herb, vine",perennial,"deciduous, multi stem",grown on small scale
1639,fruits & nuts,climber/scrambler/scadent,vine,perennial,multi stem,grown on small scale
1642,vegetables,acaulescent (or rosette plants),herb,"annual, biennial",single stem,grown on small scale
1659,"fruits & nuts, forest/wood",erect,tree,perennial,"evergreen, deciduous, single stem, C3 photosynthesis",grown on large scale
1665,"pulses (grain legumes), roots/tubers, forage/pasture, ornamentals/turf, medicinals & aromatic, cover crop",climber/scrambler/scadent,herb,"annual, perennial",,grown on large scale
1666,"pulses (grain legumes), forage/pasture, vegetables, ornamentals/turf, medicinals & aromatic","prostrate/procumbent/semi-erect, climber/scrambler/scadent",herb,"annual, perennial","single stem, C3 photosynthesis","grown on large scale, grown on small scale, harvested from wild"
1668,"pulses (grain legumes), forage/pasture, vegetables, medicinals & aromatic",prostrate/procumbent/semi-erect,herb,annual,"multi stem, C3 photosynthesis",grown on large scale
1673,fruits & nuts,erect,tree,perennial,"evergreen, single stem",grown on large scale
1686,fruits & nuts,erect,"herb, shrub",perennial,multi stem,
1689,fruits & nuts,erect,tree,perennial,"evergreen, single stem",grown on small scale
1721,"pulses (grain legumes), medicinals & aromatic","prostrate/procumbent/semi-erect, climber/scrambler/scadent",herb,annual,single stem,grown on large scale
1784,"vegetables, medicinals & aromatic",prostrate/procumbent/semi-erect,herb,annual,,grown on small scale
1793,"forage/pasture, fruits & nuts, materials, ornamentals/turf, medicinals & aromatic, forest/wood, environmental, weed",erect,tree,perennial,"semi evergreen, single stem",
1796,"fruits & nuts, ornamentals/turf, environmental",erect,"shrub, tree",perennial,"deciduous, single stem, multi stem",grown on large scale
1803,"fruits & nuts, ornamentals/turf",erect,"shrub, tree",perennial,"single stem, multi stem",
1804,"fruits & nuts, forest/wood, environmental, weed",erect,"shrub, tree",perennial,"evergreen, single stem, multi stem",grown on small scale
1807,"pulses (grain legumes), roots/tubers, forage/pasture, vegetables, materials, cover crop, environmental",climber/scrambler/scadent,"herb, vine",perennial,"multi stem, C3 photosynthesis",grown on small scale
1817,"vegetables, materials, ornamentals/turf, medicinals & aromatic, forest/wood, environmental",erect,tree,perennial,"semi evergreen, deciduous, single stem",grown on small scale
1822,"roots/tubers, forage/pasture, ornamentals/turf, environmental, weed",climber/scrambler/scadent,"herb, vine",perennial,multi stem,grown on small scale
1824,"roots/tubers, forage/pasture, materials, environmental",climber/scrambler/scadent,"herb, vine",perennial,single stem,"grown on large scale, grown on small scale"
1829,"fruits & nuts, medicinals & aromatic",erect,"shrub, tree",perennial,"evergreen, deciduous, single stem",grown on small scale
1832,"fruits & nuts, forest/wood",erect,tree,perennial,"deciduous, single stem",grown on large scale
1839,"roots/tubers, vegetables",erect,herb,annual,multi stem,grown on small scale
1877,"fruits & nuts, medicinals & aromatic",erect,sub-shrub,perennial,"deciduous, multi stem","grown on large scale, grown on small scale, harvested from wild"
1881,"fruits & nuts, medicinals & aromatic",erect,shrub,perennial,"deciduous, multi stem","grown on large scale, grown on small scale, harvested from wild"
1883,vegetables,erect,grass,perennial,multi stem,grown on small scale
1884,,,,,,
1885,"forage/pasture, materials, weed",erect,grass,perennial,C4 photosynthesis,"grown on small scale, harvested from wild"
1887,"forage/pasture, vegetables, materials",erect,grass,perennial,multi stem,harvested from wild
1894,"forage/pasture, fruits & nuts, materials, ornamentals/turf, forest/wood, environmental",erect,tree,perennial,single stem,grown on small scale
1929,"cereals & pseudocereals, forage/pasture, cover crop, environmental",erect,grass,annual,multi stem,grown on large scale
1930,"vegetables, medicinals & aromatic",climber/scrambler/scadent,vine,"annual, perennial",,grown on small scale
1937,"forage/pasture, materials",erect,herb,annual,,grown on large scale
1938,"forage/pasture, fruits & nuts, vegetables, materials, ornamentals/turf, medicinals & aromatic, forest/wood, environmental",erect,tree,perennial,"evergreen, deciduous, single stem","grown on large scale, grown on small scale"
1961,"fruits & nuts, vegetables, medicinals & aromatic",prostrate/procumbent/semi-erect,herb,annual,,grown on small scale
1965,"vegetables, medicinals & aromatic",erect,herb,annual,single stem,grown on large scale
1966,medicinals & aromatic,erect,herb,annual,multi stem,"grown on small scale, harvested from wild"
1968,"fruits & nuts, ornamentals/turf",erect,sub-shrub,perennial,"single stem, multi stem",grown on small scale
1970,"vegetables, medicinals & aromatic, weed",erect,shrub,perennial,multi stem,
1971,"roots/tubers, medicinals & aromatic",erect,herb,annual,multi stem,grown on large scale
1978,"fruits & nuts, materials, medicinals & aromatic, forest/wood",erect,"shrub, tree",perennial,"evergreen, single stem, multi stem",
1982,"cereals & pseudocereals, forage/pasture, materials, medicinals & aromatic",erect,grass,annual,single stem,grown on large scale
1991,"forage/pasture, fruits & nuts, ornamentals/turf, medicinals & aromatic, environmental",erect,tree,perennial,"deciduous, single stem",
1997,vegetables,acaulescent (or rosette plants),herb,annual,multi stem,grown on small scale
2000,"fruits & nuts, medicinals & aromatic",erect,tree,perennial,"evergreen, deciduous, single stem",grown on small scale
2002,"forage/pasture, fruits & nuts, materials, medicinals & aromatic, forest/wood, environmental",erect,tree,perennial,deciduous,harvested from wild
2047,"fruits & nuts, materials, ornamentals/turf, medicinals & aromatic, forest/wood",erect,tree,perennial,single stem,"grown on large scale, harvested from wild"
2062,"fruits & nuts, materials, ornamentals/turf, forest/wood, environmental",erect,tree,perennial,"evergreen, deciduous, single stem",
2074,"fruits & nuts, medicinals & aromatic",erect,tree,perennial,"semi evergreen, deciduous, single stem",grown on large scale
2075,"forage/pasture, vegetables, materials, ornamentals/turf, medicinals & aromatic, environmental",erect,"shrub, tree",perennial,"evergreen, single stem, multi stem",
2095,"materials, forest/wood, environmental",erect,tree,perennial,"evergreen, single stem",grown on small scale
2099,medicinals & aromatic,erect,herb,perennial,,grown on large scale
2100,"vegetables, medicinals & aromatic",climber/scrambler/scadent,"herb, vine",annual,multi stem,grown on small scale
2114,"cereals & pseudocereals, forage/pasture, medicinals & aromatic",erect,grass,annual,"single stem, C3 photosynthesis",grown on large scale
2120,roots/tubers,prostrate/procumbent/semi-erect,herb,annual,,grown on small scale
2146,"pulses (grain legumes), medicinals & aromatic",erect,herb,annual,,grown on large scale
2147,"pulses (grain legumes), forage/pasture, medicinals & aromatic, environmental","erect, climber/scrambler/scadent","herb, vine, sub-shrub",annual,multi stem,"grown on large scale, grown on small scale"
2149,"pulses (grain legumes), forage/pasture, medicinals & aromatic, cover crop, environmental",prostrate/procumbent/semi-erect,herb,annual,multi stem,
2150,"pulses (grain legumes), forage/pasture, cover crop, environmental","prostrate/procumbent/semi-erect, climber/scrambler/scadent","herb, vine, sub-shrub",perennial,"multi stem, C3 photosynthesis",
2152,"pulses (grain legumes), forage/pasture, vegetables, cover crop, environmental","erect, climber/scrambler/scadent","herb, vine","annual, perennial",multi stem,"grown on large scale, grown on small scale"
2153,"pulses (grain legumes), forage/pasture, vegetables, environmental",prostrate/procumbent/semi-erect,herb,annual,multi stem,"grown on large scale, grown on small scale"
2160,"fruits & nuts, medicinals & aromatic",climber/scrambler/scadent,"vine, shrub",perennial,"deciduous, single stem",grown on large scale
2168,roots/tubers,erect,herb,annual,single stem,grown on small scale
2175,,,,,,
2187,"cereals & pseudocereals, forage/pasture, vegetables, ornamentals/turf, medicinals & aromatic",erect,herb,annual,C4 photosynthesis,grown on small scale
2188,vegetables,erect,herb,annual,"deciduous, multi stem, C4 photosynthesis",grown on small scale
2189,vegetables,erect,herb,annual,"multi stem, C4 photosynthesis",grown on large scale
2190,"vegetables, ornamentals/turf",erect,herb,annual,C4 photosynthesis,grown on small scale
2192,medicinals & aromatic,erect,herb,"annual, biennial",multi stem,grown on small scale
2194,"fruits & nuts, medicinals & aromatic",erect,"shrub, tree",perennial,"deciduous, single stem, multi stem",grown on large scale
2196,fruits & nuts,erect,tree,perennial,"single stem, multi stem",grown on small scale
2197,"fruits & nuts, medicinals & aromatic",erect,"shrub, tree",perennial,"single stem, multi stem",
2198,"fruits & nuts, ornamentals/turf",erect,tree,perennial,single stem,grown on small scale
2199,"pulses (grain legumes), vegetables, materials, medicinals & aromatic",prostrate/procumbent/semi-erect,herb,annual,,grown on large scale
2214,fruits & nuts,erect,tree,perennial,"evergreen, deciduous",grown on small scale
2220,vegetables,erect,herb,"annual, biennial",single stem,grown on large scale
2227,"pulses (grain legumes), forage/pasture, vegetables, cover crop, environmental",climber/scrambler/scadent,"herb, vine, sub-shrub",perennial,multi stem,grown on large scale
2228,"roots/tubers, forage/pasture, materials, environmental",erect,herb,perennial,multi stem,grown on small scale
2231,"fruits & nuts, forest/wood",erect,tree,perennial,"deciduous, single stem",grown on small scale
2234,"fruits & nuts, materials, medicinals & aromatic, forest/wood",erect,tree,perennial,"deciduous, single stem","grown on large scale, harvested from wild"
2242,"fruits & nuts, materials, medicinals & aromatic",erect,tree,perennial,"evergreen, single stem",grown on large scale
2246,"fruits & nuts, materials, medicinals & aromatic, forest/wood",erect,"shrub, tree",perennial,"deciduous, single stem, multi stem",grown on large scale
2263,fruits & nuts,erect,tree,perennial,evergreen,grown on small scale
2282,"fruits & nuts, medicinals & aromatic, forest/wood",erect,tree,perennial,single stem,grown on small scale
2285,"cereals & pseudocereals, forage/pasture, vegetables, materials, cover crop",erect,herb,annual,,grown on large scale
2296,"forage/pasture, fruits & nuts, ornamentals/turf, medicinals & aromatic, forest/wood, environmental",erect,"shrub, tree",perennial,deciduous,
2300,"fruits & nuts, ornamentals/turf, medicinals & aromatic, environmental",erect,"shrub, tree",perennial,"evergreen, single stem, multi stem",
2301,"fruits & nuts, materials, medicinals & aromatic",erect,herb,perennial,,"grown on small scale, harvested from wild"
2302,"fruits & nuts, materials, medicinals & aromatic",erect,tree,perennial,"evergreen, single stem",
2307,"fruits & nuts, forest/wood",erect,tree,perennial,"evergreen, single stem",grown on large scale
2315,"fruits & nuts, materials, ornamentals/turf, medicinals & aromatic, forest/wood",erect,tree,perennial,"deciduous, single stem",grown on large scale
2318,"fruits & nuts, medicinals & aromatic",erect,tree,perennial,single stem,grown on small scale
2334,"fruits & nuts, materials, forest/wood, environmental",erect,tree,perennial,"evergreen, single stem",grown on small scale
2335,"roots/tubers, materials, medicinals & aromatic",erect,herb,perennial,single stem,
2340,medicinals & aromatic,"erect, prostrate/procumbent/semi-erect",herb,perennial,,grown on small scale
2347,"forage/pasture, vegetables, ornamentals/turf, medicinals & aromatic, weed","erect, prostrate/procumbent/semi-erect",herb,perennial,single stem,grown on small scale
2348,"forage/pasture, fruits & nuts, vegetables, materials, ornamentals/turf, medicinals & aromatic, forest/wood, environmental",erect,"shrub, tree",perennial,"deciduous, single stem, multi stem",grown on small scale
2349,"fruits & nuts, medicinals & aromatic",erect,tree,perennial,"deciduous, single stem",grown on large scale
2350,"forage/pasture, medicinals & aromatic, cover crop",climber/scrambler/scadent,herb,"annual, perennial",multi stem,grown on large scale
2357,vegetables,erect,herb,"annual, perennial",single stem,grown on small scale
