MATCH (a:crop_alias {name: 'bai dao dou'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'gombaut'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'gombo'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'Gombro'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'haluyoy'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'huang qiu kui'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'ibisco'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'kacang bendi'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'kacang lender'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'kembang dapros'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'ketmie comestible'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'kopi arab'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'krachiap man'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'krachiapkhieo'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'lady fingers'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'lady's finger'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'mesta'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'ocra'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'okay'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'oker'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'okra'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'okro'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'okura'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'quiabo'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'quimbambo'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'quimgombó'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'quingombo'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'ramturai'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'rosenapfel'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'saluyota bunga'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'sayur bendi'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'tori'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'tuah lek'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'vendakai'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'yong kok dau'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'neka (Simbo)'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'bele (Fiji)'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'pele (Tonga'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'Tuvalu)'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'aibika'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'island cabbage'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'baera'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'bush spinach'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'peli'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'slippery cabbage (Solomon Is.)'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'bush cabbage'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'slipery kabis'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'Acacia Coral'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'adenantero'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'Agati'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'Agati Petite Feuille'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'Arbreglise'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'Barbados coralwood'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'Barbados pride'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'bead tree'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'Bois Noir de Bourbon'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'Bois Noir la Graine'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'Bois Noir Rouge'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'Bois Noir'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'caralillo'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'caralín'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'carolina'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'chan‚trèi'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'circassian bean'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'circassian seed'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'Corail Vegetale'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'Coral Wood'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'coral'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'Coralitos'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'coralitos peonía'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'crab's eyes'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'Curly Bean'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'Deleite'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'Delicia'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'Dilmawi'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'église'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'Extranjera'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'flower-fence'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'Graine-r‚glisse'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'Graines Rouges'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'Jumbi Bead'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'L‚glise'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'jumbie bead'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'kitoke laut'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'Lagati'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'lam'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'legliz'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'Lera'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'lopa'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'ma clam ta cheng'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'ma clam ton'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'ma hok daeng'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'mai-chek'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'malatinglin'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'mangelim'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'olho de pavao'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'Paina'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'peacock flower-fence'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'peronía'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'peronías'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'Pitipitio'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'Pomea'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'Popoa'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'R‚glisse'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'raktakambal'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'Red Bead Tree'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'Red Sandalwood Tree'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'Red Sandalwood'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'reglisse'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'saga telik'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'saga tumpul'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'saga'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'sandal bead tree'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'segawe sabrang'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'suga'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'temo-carolina'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'tento carolina'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'Vaivai Ni Vavalagired'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'sandalwood tree'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'zumbic tree'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'candlenut'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'tuitui (Tonga)'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'lama'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'Candle nut'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'wild leek'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'vine leek'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'Levant garlic'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'alho porro bravo'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'liiki'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'onion'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'potato onion'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'shallot'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'echalote'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'oignon'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'cebolla'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'basal'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'cebola'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'cipolla'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'Zwiebel'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'Küchenzwiebel'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'lök'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'rödlök'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'løg'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'rødløg'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'kepaløk'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'ruokasipuli'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'ui'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'ajuin'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'mózespecsenye'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'zsidószalonna'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'hagyma'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'vöröshagyma'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'zöldhagyma'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'újhagyma (green onion)'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'cibule'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'ceba'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'cepo'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'sercajo'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'spritajo'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
MATCH (a:crop_alias {name: 'uinnean'})-[:is_alias_of]->(c:crop) MATCH (c)-[:has]->(description:description) RETURN  a.name, c.name, description.life_form;
